100,1.16 
2023-02-26,102900011000328,6.94 
2023-02-26,102900011006948,11.74 
2023-02-26,102900011007044,3.07 
2023-02-26,102900011007471,16.16 
2023-02-26,102900011008515,10.07 
2023-02-26,102900011013274,5.13 
2023-02-26,102900011016701,12.36 
2023-02-26,102900011021842,7.25 
2023-02-26,102900011023464,6.20 
2023-02-26,102900011030059,2.74 
2023-02-26,102900011030097,2.59 
2023-02-26,102900011030110,2.22 
2023-02-26,102900011030905,1.83 
2023-02-26,102900011031100,1.15 
2023-02-26,102900011031216,7.11 
2023-02-26,102900011031926,2.68 
2023-02-26,102900011032022,2.90 
2023-02-26,102900011032237,1.56 
2023-02-26,102900011032244,2.75 
2023-02-26,102900011032251,2.85 
2023-02-26,102900011032343,3.40 
2023-02-26,102900011032480,17.17 
2023-02-26,102900011032848,1.20 
2023-02-26,102900011033944,6.46 
2023-02-26,102900011034026,4.58 
2023-02-26,102900011034231,2.28 
2023-02-26,102900011034330,3.44 
2023-02-26,102900011035078,8.50 
2023-02-26,102900011035740,6.06 
2023-02-26,102900051000463,10.70 
2023-02-26,102900051010455,7.72 
2023-02-26,106949711300259,2.82 
2023-02-26,106971533455008,2.29 
2023-02-27,102900005115762,11.85 
2023-02-27,102900005115786,14.10 
2023-02-27,102900005115823,5.07 
2023-02-27,102900005115908,7.42 
2023-02-27,102900005115960,0.67 
2023-02-27,102900005116257,9.91 
2023-02-27,102900005116509,9.02 
2023-02-27,102900005116530,12.40 
2023-02-27,102900005116714,6.31 
2023-02-27,102900005116790,3.00 
2023-02-27,102900005116837,5.36 
2023-02-27,102900005116899,2.84 
2023-02-27,102900005116943,9.11 
2023-02-27,102900005117209,18.11 
2023-02-27,102900005118831,2.80 
2023-02-27,102900005122654,4.22 
2023-02-27,102900011000328,6.92 
2023-02-27,102900011001219,13.14 
2023-02-27,102900011006948,11.12 
2023-02-27,102900011007044,3.06 
2023-02-27,102900011010891,7.07 
2023-02-27,102900011013274,5.08 
2023-02-27,102900011016701,12.53 
2023-02-27,102900011021842,7.25 
2023-02-27,102900011023464,6.20 
2023-02-27,102900011030059,2.34 
2023-02-27,102900011030097,2.49 
2023-02-27,102900011030110,2.21 
2023-02-27,102900011031100,1.15 
2023-02-27,102900011031926,2.73 
2023-02-27,102900011032022,2.90 
2023-02-27,102900011032237,1.48 
2023-02-27,102900011032244,2.82 
2023-02-27,102900011032251,3.23 
2023-02-27,102900011032343,5.07 
2023-02-27,102900011032848,1.20 
2023-02-27,102900011033944,6.47 
2023-02-27,102900011034231,2.17 
2023-02-27,102900011034330,3.42 
2023-02-27,102900011034439,1.20 
2023-02-27,102900011035078,9.65 
2023-02-27,102900011035740,6.10 
2023-02-27,102900051000463,10.49 
2023-02-27,102900051010455,5.37 
2023-02-27,106949711300259,2.70 
2023-02-27,106971533455008,2.30 
2023-02-28,102900005115168,4.00 
2023-02-28,102900005115762,10.84 
2023-02-28,102900005115786,14.09 
2023-02-28,102900005115823,5.06 
2023-02-28,102900005115908,6.93 
2023-02-28,102900005115960,0.67 
2023-02-28,102900005116257,9.19 
2023-02-28,102900005116509,9.02 
2023-02-28,102900005116530,12.40 
2023-02-28,102900005116714,6.45 
2023-02-28,102900005116790,2.95 
2023-02-28,102900005116837,5.22 
2023-02-28,102900005116899,2.85 
2023-02-28,102900005116943,9.13 
2023-02-28,102900005117209,18.11 
2023-02-28,102900005118831,2.76 
2023-02-28,102900005122654,4.25 
2023-02-28,102900011006948,11.12 
2023-02-28,102900011007044,3.07 
2023-02-28,102900011007464,42.54 
2023-02-28,102900011007471,16.22 
2023-02-28,102900011010891,7.10 
2023-02-28,102900011013274,5.10 
2023-02-28,102900011016701,12.54 
2023-02-28,102900011021842,7.20 
2023-02-28,102900011023464,6.15 
2023-02-28,102900011030059,2.34 
2023-02-28,102900011030097,2.16 
2023-02-28,102900011030110,2.23 
2023-02-28,102900011030905,1.78 
2023-02-28,102900011031100,1.15 
2023-02-28,102900011031216,7.10 
2023-02-28,102900011031926,2.73 
2023-02-28,102900011032022,2.83 
2023-02-28,102900011032237,1.72 
2023-02-28,102900011032244,2.78 
2023-02-28,102900011032251,3.31 
2023-02-28,102900011032343,5.03 
2023-02-28,102900011032848,1.20 
2023-02-28,102900011033944,6.46 
2023-02-28,102900011034026,4.97 
2023-02-28,102900011034231,2.20 
2023-02-28,102900011034330,3.40 
2023-02-28,102900011034439,1.20 
2023-02-28,102900011035078,9.70 
2023-02-28,102900011035740,6.11 
2023-02-28,102900011036242,2.72 
2023-02-28,102900051000463,10.30 
2023-02-28,102900051010455,4.66 
2023-02-28,106949711300259,2.70 
2023-02-28,106971533455008,2.26 
2023-03-01,102900005115168,4.00 
2023-03-01,102900005115762,10.16 
2023-03-01,102900005115786,14.09 
2023-03-01,102900005115823,5.06 
2023-03-01,102900005115908,6.92 
2023-03-01,102900005115960,0.67 
2023-03-01,102900005116257,9.02 
2023-03-01,102900005116509,8.79 
2023-03-01,102900005116530,12.40 
2023-03-01,102900005116714,6.50 
2023-03-01,102900005116790,2.86 
2023-03-01,102900005116837,5.18 
2023-03-01,102900005116899,2.85 
2023-03-01,102900005116943,9.13 
2023-03-01,102900005117209,18.10 
2023-03-01,102900005118831,2.82 
2023-03-01,102900005122654,4.24 
2023-03-01,102900011001219,13.17 
2023-03-01,102900011006948,11.12 
2023-03-01,102900011007044,3.09 
2023-03-01,102900011007464,42.56 
2023-03-01,102900011010891,7.09 
2023-03-01,102900011013274,5.12 
2023-03-01,102900011016701,12.56 
2023-03-01,102900011021842,7.19 
2023-03-01,102900011023464,6.00 
2023-03-01,102900011030059,2.25 
2023-03-01,102900011030097,2.09 
2023-03-01,102900011030110,2.23 
2023-03-01,102900011031100,1.23 
2023-03-01,102900011031926,2.70 
2023-03-01,102900011032022,2.64 
2023-03-01,102900011032237,1.95 
2023-03-01,102900011032244,2.74 
2023-03-01,102900011032251,3.31 
2023-03-01,102900011032343,4.96 
2023-03-01,102900011032848,1.20 
2023-03-01,102900011033944,6.45 
2023-03-01,102900011034026,5.18 
2023-03-01,102900011034231,2.15 
2023-03-01,102900011034330,3.42 
2023-03-01,102900011034439,1.20 
2023-03-01,102900011035078,9.04 
2023-03-01,102900011035740,5.62 
2023-03-01,102900011036242,2.72 
2023-03-01,102900051010455,4.66 
2023-03-01,106949711300259,2.71 
2023-03-01,106971533455008,2.26 
2023-03-02,102900005115762,10.16 
2023-03-02,102900005115786,14.09 
2023-03-02,102900005115823,5.06 
2023-03-02,102900005115908,6.93 
2023-03-02,102900005115960,0.67 
2023-03-02,102900005115977,14.17 
2023-03-02,102900005116257,8.37 
2023-03-02,102900005116509,8.61 
2023-03-02,102900005116530,12.40 
2023-03-02,102900005116714,6.61 
2023-03-02,102900005116790,2.87 
2023-03-02,102900005116837,5.17 
2023-03-02,102900005116899,2.80 
2023-03-02,102900005118831,2.96 
2023-03-02,102900005122654,4.24 
2023-03-02,102900011001219,13.75 
2023-03-02,102900011006948,11.12 
2023-03-02,102900011007044,3.11 
2023-03-02,102900011007464,42.55 
2023-03-02,102900011008515,10.10 
2023-03-02,102900011010891,7.09 
2023-03-02,102900011011669,14.20 
2023-03-02,102900011013274,5.13 
2023-03-02,102900011016701,12.60 
2023-03-02,102900011021842,7.19 
2023-03-02,102900011023464,6.00 
2023-03-02,102900011030059,2.19 
2023-03-02,102900011030097,2.11 
2023-03-02,102900011030110,2.22 
2023-03-02,102900011031100,1.33 
2023-03-02,102900011031926,2.68 
2023-03-02,102900011032022,2.64 
2023-03-02,102900011032237,1.82 
2023-03-02,102900011032244,2.74 
2023-03-02,102900011032251,3.20 
2023-03-02,102900011032343,4.79 
2023-03-02,102900011032848,1.20 
2023-03-02,102900011033944,6.45 
2023-03-02,102900011034026,5.24 
2023-03-02,102900011034231,2.09 
2023-03-02,102900011034330,3.44 
2023-03-02,102900011034439,1.20 
2023-03-02,102900011035078,9.04 
2023-03-02,102900011035740,5.64 
2023-03-02,102900051000463,9.70 
2023-03-02,102900051010455,4.66 
2023-03-02,106949711300259,2.66 
2023-03-02,106971533455008,2.20 
2023-03-03,102900005115762,10.19 
2023-03-03,102900005115786,14.12 
2023-03-03,102900005115823,5.06 
2023-03-03,102900005115908,6.95 
2023-03-03,102900005115960,0.67 
2023-03-03,102900005116257,8.54 
2023-03-03,102900005116509,8.61 
2023-03-03,102900005116530,12.40 
2023-03-03,102900005116714,6.79 
2023-03-03,102900005116790,2.86 
2023-03-03,102900005116837,4.10 
2023-03-03,102900005116899,2.88 
2023-03-03,102900005118831,2.96 
2023-03-03,102900005122654,4.24 
2023-03-03,102900011001219,13.74 
2023-03-03,102900011007044,3.11 
2023-03-03,102900011007464,44.58 
2023-03-03,102900011010891,7.10 
2023-03-03,102900011011669,14.22 
2023-03-03,102900011013274,5.08 
2023-03-03,102900011016701,12.17 
2023-03-03,102900011021842,7.16 
2023-03-03,102900011023464,6.00 
2023-03-03,102900011030059,2.25 
2023-03-03,102900011030097,1.91 
2023-03-03,102900011030110,2.00 
2023-03-03,102900011030134,2.22 
2023-03-03,102900011030608,5.10 
2023-03-03,102900011030905,1.87 
2023-03-03,102900011031100,1.36 
2023-03-03,102900011031216,8.15 
2023-03-03,102900011031926,2.68 
2023-03-03,102900011032022,2.92 
2023-03-03,102900011032237,1.76 
2023-03-03,102900011032244,2.74 
2023-03-03,102900011032251,3.14 
2023-03-03,102900011032343,4.50 
2023-03-03,102900011032848,1.20 
2023-03-03,102900011033944,6.59 
2023-03-03,102900011034026,5.67 
2023-03-03,102900011034231,2.02 
2023-03-03,102900011034330,3.44 
2023-03-03,102900011034439,1.20 
2023-03-03,102900011035078,9.84 
2023-03-03,102900011035740,5.69 
2023-03-03,102900051000463,9.70 
2023-03-03,102900051010455,4.66 
2023-03-03,106949711300259,2.69 
2023-03-03,106971533455008,2.19 
2023-03-04,102900005115762,10.18 
2023-03-04,102900005115786,14.13 
2023-03-04,102900005115823,5.06 
2023-03-04,102900005115960,0.68 
2023-03-04,102900005116257,8.77 
2023-03-04,102900005116509,8.61 
2023-03-04,102900005116530,12.40 
2023-03-04,102900005116714,6.81 
2023-03-04,102900005116790,2.86 
2023-03-04,102900005116837,3.83 
2023-03-04,102900005116899,2.85 
2023-03-04,102900005117209,18.11 
2023-03-04,102900005118831,2.96 
2023-03-04,102900005122654,4.25 
2023-03-04,102900011001219,13.63 
2023-03-04,102900011006948,9.80 
2023-03-04,102900011007044,3.12 
2023-03-04,102900011007464,44.52 
2023-03-04,102900011008164,2.98 
2023-03-04,102900011010891,7.06 
2023-03-04,102900011013274,5.02 
2023-03-04,102900011016701,11.81 
2023-03-04,102900011021842,7.14 
2023-03-04,102900011023464,5.94 
2023-03-04,102900011030059,2.22 
2023-03-04,102900011030097,1.87 
2023-03-04,102900011030110,1.95 
2023-03-04,102900011030134,2.22 
2023-03-04,102900011030905,1.94 
2023-03-04,102900011031100,1.24 
2023-03-04,102900011031216,8.20 
2023-03-04,102900011031926,2.64 
2023-03-04,102900011032022,2.99 
2023-03-04,102900011032237,1.75 
2023-03-04,102900011032244,2.72 
2023-03-04,102900011032251,3.28 
2023-03-04,102900011032343,11.96 
2023-03-04,102900011032848,1.20 
2023-03-04,102900011033944,6.53 
2023-03-04,102900011034026,6.00 
2023-03-04,102900011034231,1.89 
2023-03-04,102900011034330,3.45 
2023-03-04,102900011034439,1.20 
2023-03-04,102900011035078,9.78 
2023-03-04,102900011035740,5.53 
2023-03-04,102900011036242,2.72 
2023-03-04,102900051000463,9.70 
2023-03-04,102900051009336,13.27 
2023-03-04,102900051010455,4.67 
2023-03-04,106949711300259,2.70 
2023-03-04,106971533455008,2.20 
2023-03-05,102900005115762,8.23 
2023-03-05,102900005115786,13.15 
2023-03-05,102900005115823,5.21 
2023-03-05,102900005115960,0.69 
2023-03-05,102900005116257,9.03 
2023-03-05,102900005116509,8.50 
2023-03-05,102900005116530,12.40 
2023-03-05,102900005116714,6.79 
2023-03-05,102900005116790,2.86 
2023-03-05,102900005116837,3.61 
2023-03-05,102900005116899,2.88 
2023-03-05,102900005117209,18.11 
2023-03-05,102900005118831,2.98 
2023-03-05,102900005122654,4.25 
2023-03-05,102900011001219,14.04 
2023-03-05,102900011006948,9.80 
2023-03-05,102900011007044,3.10 
2023-03-05,102900011007464,44.51 
2023-03-05,102900011010891,7.06 
2023-03-05,102900011013274,5.03 
2023-03-05,102900011016701,11.67 
2023-03-05,102900011021842,7.14 
2023-03-05,102900011023464,5.00 
2023-03-05,102900011030059,2.34 
2023-03-05,102900011030097,1.89 
2023-03-05,102900011030110,1.93 
2023-03-05,102900011030134,2.19 
2023-03-05,102900011030905,1.89 
2023-03-05,102900011031100,1.32 
2023-03-05,102900011031926,2.65 
2023-03-05,102900011032022,2.85 
2023-03-05,102900011032237,1.68 
2023-03-05,102900011032251,3.42 
2023-03-05,102900011032343,3.49 
2023-03-05,102900011032848,1.20 
2023-03-05,102900011033944,6.53 
2023-03-05,102900011034026,5.85 
2023-03-05,102900011034231,1.86 
2023-03-05,102900011034330,3.44 
2023-03-05,102900011035078,9.84 
2023-03-05,102900011035740,5.31 
2023-03-05,102900011036242,2.72 
2023-03-05,102900051000463,9.57 
2023-03-05,102900051010455,4.41 
2023-03-05,106949711300259,2.70 
2023-03-05,106971533455008,2.20 
2023-03-06,102900005115762,8.16 
2023-03-06,102900005115786,12.99 
2023-03-06,102900005115823,5.26 
2023-03-06,102900005115960,0.67 
2023-03-06,102900005116257,8.66 
2023-03-06,102900005116509,8.59 
2023-03-06,102900005116530,12.40 
2023-03-06,102900005116714,6.76 
2023-03-06,102900005116790,2.86 
2023-03-06,102900005116837,3.82 
2023-03-06,102900005116899,2.85 
2023-03-06,102900005117209,18.11 
2023-03-06,102900005118824,22.28 
2023-03-06,102900005118831,2.99 
2023-03-06,102900005122654,4.23 
2023-03-06,102900011001219,14.64 
2023-03-06,102900011006948,9.80 
2023-03-06,102900011007044,3.10 
2023-03-06,102900011007464,44.53 
2023-03-06,102900011008485,8.49 
2023-03-06,102900011010891,7.06 
2023-03-06,102900011013274,5.04 
2023-03-06,102900011016701,11.58 
2023-03-06,102900011021842,7.14 
2023-03-06,102900011023464,5.00 
2023-03-06,102900011030059,2.42 
2023-03-06,102900011030097,1.88 
2023-03-06,102900011030110,1.90 
2023-03-06,102900011030134,2.17 
2023-03-06,102900011031100,1.40 
2023-03-06,102900011031926,2.65 
2023-03-06,102900011032022,2.50 
2023-03-06,102900011032237,1.71 
2023-03-06,102900011032251,3.35 
2023-03-06,102900011032343,3.50 
2023-03-06,102900011032848,1.20 
2023-03-06,102900011033944,6.51 
2023-03-06,102900011034026,5.55 
2023-03-06,102900011034231,1.87 
2023-03-06,102900011034330,3.45 
2023-03-06,102900011034439,1.20 
2023-03-06,102900011035078,10.13 
2023-03-06,102900011035740,5.30 
2023-03-06,102900011036242,2.72 
2023-03-06,102900051000463,9.35 
2023-03-06,102900051010455,4.16 
2023-03-06,106949711300259,2.69 
2023-03-06,106971533455008,2.21 
2023-03-07,102900005115762,8.16 
2023-03-07,102900005115786,12.99 
2023-03-07,102900005115823,5.26 
2023-03-07,102900005115960,0.67 
2023-03-07,102900005116257,7.54 
2023-03-07,102900005116509,8.59 
2023-03-07,102900005116530,12.47 
2023-03-07,102900005116714,6.83 
2023-03-07,102900005116790,2.86 
2023-03-07,102900005116837,3.82 
2023-03-07,102900005116899,2.80 
2023-03-07,102900005117209,17.58 
2023-03-07,102900005118831,3.15 
2023-03-07,102900005122654,4.22 
2023-03-07,102900011006948,9.80 
2023-03-07,102900011007044,3.10 
2023-03-07,102900011007464,44.46 
2023-03-07,102900011007471,10.18 
2023-03-07,102900011008133,32.49 
2023-03-07,102900011008515,8.11 
2023-03-07,102900011010891,7.06 
2023-03-07,102900011013274,4.98 
2023-03-07,102900011016701,11.60 
2023-03-07,102900011021842,7.14 
2023-03-07,102900011023464,5.00 
2023-03-07,102900011030059,2.43 
2023-03-07,102900011030097,1.89 
2023-03-07,102900011030110,1.95 
2023-03-07,102900011030134,2.16 
2023-03-07,102900011030905,2.16 
2023-03-07,102900011031100,1.40 
2023-03-07,102900011031216,8.20 
2023-03-07,102900011031926,2.63 
2023-03-07,102900011032022,2.33 
2023-03-07,102900011032237,1.74 
2023-03-07,102900011032244,2.74 
2023-03-07,102900011032251,3.31 
2023-03-07,102900011032343,7.49 
2023-03-07,102900011032848,1.20 
2023-03-07,102900011033944,6.47 
2023-03-07,102900011034026,5.44 
2023-03-07,102900011034231,1.53 
2023-03-07,102900011034330,3.47 
2023-03-07,102900011034439,1.20 
2023-03-07,102900011035078,10.13 
2023-03-07,102900011035740,5.28 
2023-03-07,102900011035849,4.17 
2023-03-07,102900051000463,9.37 
2023-03-07,102900051010455,4.16 
2023-03-07,106949711300259,2.60 
2023-03-07,106971533455008,2.14 
2023-03-08,102900005115250,15.00 
2023-03-08,102900005115762,8.17 
2023-03-08,102900005115786,13.08 
2023-03-08,102900005115823,5.50 
2023-03-08,102900005115960,0.67 
2023-03-08,102900005116257,7.19 
2023-03-08,102900005116530,12.09 
2023-03-08,102900005116714,6.86 
2023-03-08,102900005116790,2.85 
2023-03-08,102900005116837,3.82 
2023-03-08,102900005116899,2.78 
2023-03-08,102900005117209,17.09 
2023-03-08,102900005118824,20.32 
2023-03-08,102900005118831,3.28 
2023-03-08,102900005122654,4.20 
2023-03-08,102900011001219,15.43 
2023-03-08,102900011006948,8.43 
2023-03-08,102900011007044,3.14 
2023-03-08,102900011010891,7.06 
2023-03-08,102900011013274,4.96 
2023-03-08,102900011016701,12.72 
2023-03-08,102900011021842,7.14 
2023-03-08,102900011023464,5.00 
2023-03-08,102900011030059,2.40 
2023-03-08,102900011030097,1.90 
2023-03-08,102900011030110,1.93 
2023-03-08,102900011030134,2.16 
2023-03-08,102900011031100,1.23 
2023-03-08,102900011031926,2.69 
2023-03-08,102900011032022,2.27 
2023-03-08,102900011032237,1.77 
2023-03-08,102900011032244,2.73 
2023-03-08,102900011032251,3.36 
2023-03-08,102900011032343,13.11 
2023-03-08,102900011032848,1.20 
2023-03-08,102900011033944,6.53 
2023-03-08,102900011034026,5.17 
2023-03-08,102900011034231,1.50 
2023-03-08,102900011034330,3.46 
2023-03-08,102900011034439,1.20 
2023-03-08,102900011035078,10.02 
2023-03-08,102900011035740,5.51 
2023-03-08,102900011035849,4.17 
2023-03-08,102900051000463,9.35 
2023-03-08,102900051010455,4.16 
2023-03-08,106949711300259,2.60 
2023-03-08,106971533455008,2.10 
2023-03-09,102900005115748,2.37 
2023-03-09,102900005115762,8.19 
2023-03-09,102900005115786,13.58 
2023-03-09,102900005115823,5.56 
2023-03-09,102900005115960,0.67 
2023-03-09,102900005116257,7.19 
2023-03-09,102900005116509,8.59 
2023-03-09,102900005116530,12.06 
2023-03-09,102900005116714,6.79 
2023-03-09,102900005116790,2.85 
2023-03-09,102900005116837,3.79 
2023-03-09,102900005116899,2.73 
2023-03-09,102900005117209,19.28 
2023-03-09,102900005118831,3.30 
2023-03-09,102900005122654,4.20 
2023-03-09,102900011001219,8.13 
2023-03-09,102900011006948,7.45 
2023-03-09,102900011007044,3.12 
2023-03-09,102900011007464,39.30 
2023-03-09,102900011007471,10.18 
2023-03-09,102900011010891,7.06 
2023-03-09,102900011013274,4.94 
2023-03-09,102900011016701,12.72 
2023-03-09,102900011021842,7.14 
2023-03-09,102900011023464,5.00 
2023-03-09,102900011030059,2.40 
2023-03-09,102900011030097,1.90 
2023-03-09,102900011030110,1.92 
2023-03-09,102900011030134,2.16 
2023-03-09,102900011031100,1.23 
2023-03-09,102900011031216,7.54 
2023-03-09,102900011031926,2.69 
2023-03-09,102900011032022,2.27 
2023-03-09,102900011032237,1.90 
2023-03-09,102900011032244,2.72 
2023-03-09,102900011032251,3.49 
2023-03-09,102900011032480,12.10 
2023-03-09,102900011032848,1.20 
2023-03-09,102900011033944,6.58 
2023-03-09,102900011034026,4.82 
2023-03-09,102900011034231,1.50 
2023-03-09,102900011034330,3.45 
2023-03-09,102900011034439,1.20 
2023-03-09,102900011035078,9.93 
2023-03-09,102900011035740,5.54 
2023-03-09,102900011036242,2.72 
2023-03-09,102900051000463,9.26 
2023-03-09,102900051010455,4.16 
2023-03-09,106949711300259,2.63 
2023-03-09,106971533455008,2.12 
2023-03-10,102900005115762,8.19 
2023-03-10,102900005115786,13.59 
2023-03-10,102900005115823,5.55 
2023-03-10,102900005115960,0.67 
2023-03-10,102900005116233,9.28 
2023-03-10,102900005116257,7.19 
2023-03-10,102900005116509,8.29 
2023-03-10,102900005116530,12.40 
2023-03-10,102900005116714,6.68 
2023-03-10,102900005116790,2.85 
2023-03-10,102900005116837,3.65 
2023-03-10,102900005116899,2.71 
2023-03-10,102900005118824,20.26 
2023-03-10,102900005118831,3.40 
2023-03-10,102900005122654,4.20 
2023-03-10,102900011006948,7.45 
2023-03-10,102900011007044,3.13 
2023-03-10,102900011008164,3.00 
2023-03-10,102900011010891,7.06 
2023-03-10,102900011016701,12.94 
2023-03-10,102900011021842,7.15 
2023-03-10,102900011023464,4.54 
2023-03-10,102900011030059,2.36 
2023-03-10,102900011030097,1.89 
2023-03-10,102900011030110,1.85 
2023-03-10,102900011030905,2.30 
2023-03-10,102900011031100,1.49 
2023-03-10,102900011032022,2.27 
2023-03-10,102900011032237,2.00 
2023-03-10,102900011032244,2.72 
2023-03-10,102900011032251,3.58 
2023-03-10,102900011032343,12.12 
2023-03-10,102900011032480,12.12 
2023-03-10,102900011032848,1.20 
2023-03-10,102900011033944,6.58 
2023-03-10,102900011034026,4.87 
2023-03-10,102900011034231,1.46 
2023-03-10,102900011034330,3.45 
2023-03-10,102900011034439,1.20 
2023-03-10,102900011035078,9.93 
2023-03-10,102900011035740,5.57 
2023-03-10,102900011036242,2.72 
2023-03-10,102900051009336,13.22 
2023-03-10,102900051010455,4.16 
2023-03-10,106949711300259,2.30 
2023-03-10,106971533455008,2.12 
2023-03-11,102900005115250,15.00 
2023-03-11,102900005115762,8.19 
2023-03-11,102900005115786,13.58 
2023-03-11,102900005115823,5.38 
2023-03-11,102900005115960,0.68 
2023-03-11,102900005116257,6.62 
2023-03-11,102900005116509,7.59 
2023-03-11,102900005116530,12.40 
2023-03-11,102900005116790,2.85 
2023-03-11,102900005116837,3.48 
2023-03-11,102900005116899,2.69 
2023-03-11,102900005117209,19.23 
2023-03-11,102900005118824,18.33 
2023-03-11,102900005118831,3.68 
2023-03-11,102900005122654,4.17 
2023-03-11,102900011002414,13.71 
2023-03-11,102900011006948,7.46 
2023-03-11,102900011007044,3.12 
2023-03-11,102900011007495,10.11 
2023-03-11,102900011008164,1.79 
2023-03-11,102900011010891,7.05 
2023-03-11,102900011013274,4.93 
2023-03-11,102900011016701,13.38 
2023-03-11,102900011021842,7.14 
2023-03-11,102900011023464,3.00 
2023-03-11,102900011030059,2.36 
2023-03-11,102900011030097,1.81 
2023-03-11,102900011030110,1.76 
2023-03-11,102900011031100,1.76 
2023-03-11,102900011032022,2.44 
2023-03-11,102900011032237,2.64 
2023-03-11,102900011032251,3.55 
2023-03-11,102900011032480,12.10 
2023-03-11,102900011032848,1.20 
2023-03-11,102900011033944,6.58 
2023-03-11,102900011034026,5.00 
2023-03-11,102900011034231,1.43 
2023-03-11,102900011034330,3.46 
2023-03-11,102900011034439,1.20 
2023-03-11,102900011035078,9.92 
2023-03-11,102900011035740,5.54 
2023-03-11,102900011036242,2.72 
2023-03-11,102900051000463,9.25 
2023-03-11,102900051009336,13.23 
2023-03-11,102900051010455,4.09 
2023-03-11,106949711300259,2.00 
2023-03-11,106971533455008,2.10 
2023-03-12,102900005115250,15.00 
2023-03-12,102900005115762,8.19 
2023-03-12,102900005115786,13.58 
2023-03-12,102900005115823,5.38 
2023-03-12,102900005115885,6.17 
2023-03-12,102900005115960,0.69 
2023-03-12,102900005116257,6.63 
2023-03-12,102900005116509,7.53 
2023-03-12,102900005116530,12.40 
2023-03-12,102900005116790,2.85 
2023-03-12,102900005116837,3.45 
2023-03-12,102900005116899,2.62 
2023-03-12,102900005118824,18.32 
2023-03-12,102900005118831,3.86 
2023-03-12,102900011000328,10.60 
2023-03-12,102900011006948,6.42 
2023-03-12,102900011007044,3.12 
2023-03-12,102900011007471,10.15 
2023-03-12,102900011008485,8.44 
2023-03-12,102900011010891,7.05 
2023-03-12,102900011013274,4.94 
2023-03-12,102900011016701,13.46 
2023-03-12,102900011021842,7.15 
2023-03-12,102900011023464,3.00 
2023-03-12,102900011030059,2.30 
2023-03-12,102900011030097,1.75 
2023-03-12,102900011030110,1.72 
2023-03-12,102900011030905,2.70 
2023-03-12,102900011031100,1.83 
2023-03-12,102900011031926,1.61 
2023-03-12,102900011032022,2.77 
2023-03-12,102900011032237,2.80 
2023-03-12,102900011032251,3.48 
2023-03-12,102900011032848,1.20 
2023-03-12,102900011033944,6.37 
2023-03-12,102900011034026,5.03 
2023-03-12,102900011034231,1.22 
2023-03-12,102900011034330,3.49 
2023-03-12,102900011034439,1.20 
2023-03-12,102900011035078,9.86 
2023-03-12,102900011035740,5.49 
2023-03-12,102900051000463,9.26 
2023-03-12,102900051010455,3.88 
2023-03-12,106949711300259,2.08 
2023-03-12,106971533455008,2.10 
2023-03-13,102900005115199,35.23 
2023-03-13,102900005115762,7.87 
2023-03-13,102900005115786,10.00 
2023-03-13,102900005115823,5.14 
2023-03-13,102900005116233,9.28 
2023-03-13,102900005116257,6.55 
2023-03-13,102900005116509,7.58 
2023-03-13,102900005116530,12.33 
2023-03-13,102900005116714,6.68 
2023-03-13,102900005116790,3.16 
2023-03-13,102900005116837,3.90 
2023-03-13,102900005116899,2.65 
2023-03-13,102900005117209,20.63 
2023-03-13,102900005118824,18.45 
2023-03-13,102900005118831,3.90 
2023-03-13,102900011000328,10.60 
2023-03-13,102900011006948,5.07 
2023-03-13,102900011007471,10.20 
2023-03-13,102900011010891,7.03 
2023-03-13,102900011013274,4.95 
2023-03-13,102900011016701,13.25 
2023-03-13,102900011021842,7.15 
2023-03-13,102900011023464,3.00 
2023-03-13,102900011030059,2.28 
2023-03-13,102900011030097,1.83 
2023-03-13,102900011030110,1.67 
2023-03-13,102900011031100,2.11 
2023-03-13,102900011032022,2.88 
2023-03-13,102900011032237,0.93 
2023-03-13,102900011032251,3.48 
2023-03-13,102900011032848,1.20 
2023-03-13,102900011033944,6.58 
2023-03-13,102900011034026,4.95 
2023-03-13,102900011034231,1.08 
2023-03-13,102900011034330,2.20 
2023-03-13,102900011034439,1.20 
2023-03-13,102900011035078,9.78 
2023-03-13,102900011035740,5.49 
2023-03-13,102900011036242,2.72 
2023-03-13,102900051000463,9.22 
2023-03-13,102900051009336,13.37 
2023-03-13,102900051010455,3.88 
2023-03-13,106949711300259,2.17 
2023-03-13,106971533455008,2.05 
2023-03-14,102900005115199,35.16 
2023-03-14,102900005115762,5.38 
2023-03-14,102900005115786,10.00 
2023-03-14,102900005115823,5.08 
2023-03-14,102900005115878,4.02 
2023-03-14,102900005115960,1.49 
2023-03-14,102900005116233,9.28 
2023-03-14,102900005116257,6.55 
2023-03-14,102900005116509,7.58 
2023-03-14,102900005116530,12.00 
2023-03-14,102900005116790,3.18 
2023-03-14,102900005116837,4.51 
2023-03-14,102900005116899,2.66 
2023-03-14,102900005117209,20.65 
2023-03-14,102900005118831,3.92 
2023-03-14,102900011007495,10.12 
2023-03-14,102900011008164,2.60 
2023-03-14,102900011010891,7.00 
2023-03-14,102900011013274,5.00 
2023-03-14,102900011016701,9.85 
2023-03-14,102900011021842,7.14 
2023-03-14,102900011023464,3.00 
2023-03-14,102900011030059,2.28 
2023-03-14,102900011030097,1.81 
2023-03-14,102900011030110,1.74 
2023-03-14,102900011030905,2.34 
2023-03-14,102900011031100,2.25 
